work;separation;partner;marriage;children
21;21;21;21;21
;;;;
22;19;22;;
;;;;
20;18;21;;23
;;;;26
24;20;;19;19
19;25;22;;23
17;21;23;23;19
;20;;22;25
;19;32;32;
20;20;;29;30
18;26;;26;27
22;22;22;27;28
18;20;;20;21
22;22;;23;23
17;17;;19;20
16;20;;21;22
22;18;22;22;
16;16;21;;21
17;23;;23;25
16;18;;24;26
;23;;23;26
40;30;;30;31
17;15;;23;24
16;20;24;24;
19;19;20;20;21
26;20;20;20;20
;27;40;;
23;20;29;;23
;18;21;20;20
25;25;;24;27
21;15;;21;22
;20;20;20;20
;;;32;34
;16;;21;22
18;17;;23;24
;;;20;21
18;24;;23;32
15;19;;;
22;19;30;23;17
;17;;;
;18;;18;19
21;23;23;;
19;;;;
;18;;;
;;;;
;20;;;
20;39;;23;24
19;19;;;21
22;;;;
17;16;16;17;16
21;26;26;;23
20;21;;21;22
19;19;19;;
13;;;;
19;21;23;25;27
21;19;;23;23
17;17;25;;25
17;17;;17;28
17;25;;25;25
20;21;;21;22
20;23;;28;29
20;;;23;26
19;49;;29;30
16;17;;22;24
14;16;;27;28
20;17;18;18;18
20;;;22;23
20;20;24;20;25
17;23;;;
18;20;;26;
;;;;
37;;;40;42
;;;;
;;;;
;;;;
;;;;
21;21;21;32;26
;;;26;29
21;29;30;28;29
14;;;36;37
;23;;24;25
23;18;;25;26
11;18;;18;19
20;;;;
;;;21;23
;21;;21;24
;;;;19
22;16;;22;24
20;25;25;20;21
18;18;19;19;22
20;18;;;
21;21;24;;
15;15;16;;
18;17;20;;
;21;;30;30
;;;;
18;18;19;;
23;;;40;41
20;23;;23;23
20;24;24;24;
21;20;;20;23
;;;;
22;22;;;
17;17;24;;
18;18;;20;22
17;22;;22;23
22;31;;22;23
18;23;;23;25
16;16;;23;24
18;;;23;24
;16;16;18;20
14;20;;20;21
18;17;17;20;20
20;22;;22;
18;18;;24;25
;19;;33;
23;18;;25;27
21;22;;22;23
19;19;;24;29
17;25;;25;26
17;;;;
22;20;;20;21
12;20;;27;39
19;19;;28;27
18;25;;23;25
20;18;18;18;28
;;;;
17;18;;;
18;;;;
16;19;;20;
14;19;;19;20
14;20;;25;26
14;27;;27;27
21;22;;;
29;20;;20;
20;16;;23;25
20;21;;20;22
19;15;;20;21
22;27;;27;
14;18;;18;18
19;;;;
17;21;27;;
19;20;;20;20
24;21;;23;24
16;14;23;33;27
27;29;;32;34
16;23;;18;19
17;17;;20;
20;23;;23;25
18;19;21;22;24
24;15;20;20;21
20;18;;18;18
22;15;20;20;21
21;;;;
19;26;;23;23
16;23;21;21;21
15;20;21;21;22
19;21;;21;23
19;20;;21;21
18;;;25;25
19;23;24;24;26
21;26;27;;
17;23;;24;26
17;17;21;21;23
24;26;;23;24
16;19;;19;20
17;20;;20;21
24;;;25;26
17;19;;21;20
23;28;;28;29
17;20;;;31
25;21;;21;23
;;;23;25
16;21;23;23;29
;22;22;23;
22;19;25;;
21;17;21;;
;;;;25
;18;;;
16;18;20;20;20
;18;;;
21;20;20;19;20
21;25;;25;27
;;;21;21
17;17;;;
;;;;
17;;;;
18;19;24;25;27
;;;;
;;22;22;
;21;45;21;22
18;17;;;
24;;;;
16;;;;
;;;;
18;20;20;21;25
;;;;
;;;;
17;19;;20;20
14;23;;23;25
18;30;;30;30
15;24;;24;25
19;21;;21;22
20;21;;21;22
19;21;;22;22
19;19;;19;20
18;18;;21;22
18;18;;21;24
18;24;29;25;25
19;20;;20;21
18;16;42;56;23
21;;;;
18;;;20;20
17;20;;;
;21;;21;24
18;19;;19;19
17;33;;17;24
18;17;;27;28
18;26;26;26;27
;;;20;21
19;23;23;23;23
18;18;20;20;20
17;25;;;
;18;;25;26
17;17;;17;18
;;;;35
;;;;
17;;;23;24
17;23;;23;25
20;21;;20;21
24;25;;25;
17;17;;21;22
19;29;29;29;30
14;;;20;21
;22;;22;22
;;;19;21
16;16;19;19;20
;19;;19;20
;20;;20;21
;;;25;26
;;;30;
18;20;20;21;
16;;;33;34
;;;;
19;20;;20;24
;22;;22;23
23;25;26;;
;18;18;;20
19;18;18;;
14;;25;25;
16;;;27;
16;15;;22;23
16;18;;23;24
;31;;36;37
;;;23;25
19;19;24;;
14;;;19;20
21;21;24;24;26
;19;;;25
;;;;
16;;;21;21
22;25;25;;
18;20;;18;18
15;17;;20;20
18;20;;20;21
19;;;;21
18;;;20;20
15;;;18;23
17;22;;23;24
12;22;;22;23
20;21;;21;22
;;;;
33;22;;23;23
23;23;;;
21;21;;21;22
16;32;;32;33
16;27;;27;28
17;;;;
18;;;;
19;;18;18;20
;15;;23;24
19;18;;20;21
;;;;
;;;;26
20;;;20;21
20;20;;22;25
14;14;14;;
;;;;23
19;;;19;33
18;18;;21;23
21;21;;20;20
22;22;22;22;20
;;21;36;37
25;25;;25;26
;;;25;26
;;;22;23
;;;24;25
16;17;;20;21
18;27;;25;16
19;24;;24;25
15;50;;43;
;;;;
19;19;;24;26
19;15;;22;22
16;22;;23;23
23;23;;25;26
22;17;22;21;22
17;23;;23;24
14;23;;23;24
18;18;18;18;18
32;29;;33;34
19;19;;24;24
17;18;18;23;23
17;30;;26;27
19;;37;;
17;23;;23;25
17;17;;20;23
17;20;20;20;18
17;;22;22;23
16;27;;24;25
15;22;;22;22
;;;;
21;17;;17;24
12;21;;21;22
17;16;22;22;23
21;21;;21;25
15;16;17;17;20
19;17;;20;21
18;18;18;18;18
13;;;24;25
;;;;
;;;17;18
18;28;;20;20
24;;;25;31
;;;;
;;;;27
;;;;
;;;;
17;18;;26;27
14;25;;22;23
16;12;;27;27
19;19;;23;24
25;19;;22;27
17;17;;21;22
18;18;;24;25
;20;;20;21
;;;;
19;23;;23;24
17;14;;28;29
21;51;;18;20
;;;30;32
20;21;;21;22
;23;20;20;21
17;17;21;21;22
15;;18;18;21
18;19;19;;
20;20;;;
23;19;;23;23
;20;;20;21
;22;22;;24
15;20;23;23;23
;14;;23;24
16;;;23;24
19;;;;
19;21;;21;19
17;15;;21;22
17;21;22;22;23
24;25;26;27;28
;;;22;24
;19;;19;24
;22;22;19;20
;21;;22;23
20;20;;20;28
18;21;;21;22
;17;19;22;23
